Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
107.0,BOS,Johnny Bach,False,Fordham University,1.0,34.0,1948.0,27.0,,,,,,,,,,,,,,,,,,,,,
108.0,BOS,Norman Carey,False,Oregon State University,,,1948.0,28.0,,,,,,,,,,,,,,,,,,,,,
109.0,BOS,Bob Curran,False,College of the Holy Cross,,,1948.0,29.0,,,,,,,,,,,,,,,,,,,,,
110.0,BOS,Neil Dooley,False,Colgate University,,,1948.0,30.0,,,,,,,,,,,,,,,,,,,,,
111.0,BOS,Jack Hauser,False,University of Denver,,,1948.0,31.0,,,,,,,,,,,,,,,,,,,,,
112.0,BOS,Marshall Hawkins,False,University of Tennessee,1.0,39.0,1948.0,32.0,,,,,,,,,,,,,,,,,,,,,
113.0,BOS,Tom Kelly,False,New York University,1.0,27.0,1948.0,33.0,,,,,,,,,,,,,,,,,,,,,
114.0,BOS,Murray Mitchell,False,Sam Houston State University,1.0,2.0,1948.0,34.0,,,,,,,,,,,,,,,,,,,,,
115.0,BOS,Guinn Phillips,False,Texas Wesleyan University,,,1948.0,35.0,,,,,,,,,,,,,,,,,,,,,
116.0,BOS,Ray Wehde,False,Iowa State University,,,1948.0,36.0,,,,,,,,,,,,,,,,,,,,,
117.0,CHS,Hook Dillon,False,University of North Carolina,1.0,22.0,1948.0,37.0,,,,,,,,,,,,,,,,,,,,,
118.0,CHS,Whitey Kachan,False,DePaul University,1.0,52.0,1948.0,38.0,,,,,,,,,,,,,,,,,,,,,
119.0,CHS,Mickey Marty,False,Loras College,,,1948.0,39.0,,,,,,,,,,,,,,,,,,,,,
120.0,CHS,Ed Mills,False,University of Wisconsin,,,1948.0,40.0,,,,,,,,,,,,,,,,,,,,,
121.0,CHS,Don Reagan,False,Murray State University,,,1948.0,41.0,,,,,,,,,,,,,,,,,,,,,
122.0,CHS,Joe Shafer,False,Wheaton College,,,1948.0,42.0,,,,,,,,,,,,,,,,,,,,,
123.0,CHS,Odie Spears,False,Western Kentucky University,8.0,479.0,1948.0,43.0,,,,,,,,,,,,,,,,,,,,,
124.0,CHS,Fred Weber,False,Siena College,,,1948.0,44.0,,,,,,,,,,,,,,,,,,,,,
125.0,FTW,Bobby Cook,False,University of Wisconsin,1.0,51.0,1948.0,45.0,,,,,,,,,,,,,,,,,,,,,
126.0,FTW,Link Richmond,False,University of Arizona,,,1948.0,46.0,,,,,,,,,,,,,,,,,,,,,
127.0,FTW,Kenny Rollins,False,University of Kentucky,3.0,168.0,1948.0,47.0,,,,,,,,,,,,,,,,,,,,,
